Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate_name_alias,Isolation_source,Lat_Lon,Library
Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SAMPLE_TYPE,Serovar,SRA Study,Strain,VirulenceMarker
SRR3360848,WGS,ASM920v1,302,412357142,PRJNA315363,SAMN04624747,"Microbe\, viral or environmental",158247738,MODMEDMICOXFORD,ModMedMicOxford,Not Recorded,public,"sra,bam,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX1692707,uncalculated,uncalculated,Not Recorded,Illumina HiSeq 2000,NA,clinical sample,Not Recorded,NA,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-07-12T00:00:00Z,2016-04-12T07:44:00Z,1,MMMOSAM:b05a2f48-b316-4fc4-a057-fbb47cb15748,whole organism,NA,SRP072971,NA,NA
SRR3360913,WGS,ASM920v1,302,510215410,PRJNA315363,SAMN04624611,"Microbe\, viral or environmental",182899212,MODMEDMICOXFORD,ModMedMicOxford,2005-08-25,public,"run.zq,bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1692772,United Kingdom,Europe,United Kingdom: Brighton,Illumina HiSeq 2000,NA,clinical sample,Not Recorded,NA,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-07-12T00:00:00Z,2016-04-12T08:14:00Z,1,MMMOSAM:08511034-ab92-4efb-9a09-601c3b8af0ec,whole organism,NA,SRP072971,NA,NA
SRR3357116,WGS,ASM920v1,302,395196898,PRJNA315363,SAMN04625118,"Microbe\, viral or environmental",151483601,MODMEDMICOXFORD,ModMedMicOxford,2011-05-09,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1690620,United Kingdom,Europe,United Kingdom: Brighton,Illumina HiSeq 2000,NA,clinical sample,Not Recorded,NA,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-07-12T00:00:00Z,2016-04-11T18:59:00Z,1,MMMOSAM:3b086f52-07e0-4dc4-afce-591ddbccfea5,whole organism,NA,SRP072971,NA,NA
SRR3357140,WGS,ASM920v1,302,436484828,PRJNA315363,SAMN04625129,"Microbe\, viral or environmental",187433303,MODMEDMICOXFORD,ModMedMicOxford,2014-12-05,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1690632,United Kingdom,Europe,United Kingdom: Brighton,Illumina HiSeq 2000,NA,clinical sample,Not Recorded,NA,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-07-12T00:00:00Z,2016-04-11T19:31:00Z,1,MMMOSAM:45941c74-e9d3-4cbb-8320-48aa81a32dc1,whole organism,NA,SRP072971,NA,NA
SRR3357148,WGS,ASM920v1,302,423323970,PRJNA315363,SAMN04625137,"Microbe\, viral or environmental",168118853,MODMEDMICOXFORD,ModMedMicOxford,2011-02-17,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1690640,United Kingdom,Europe,United Kingdom: Brighton,Illumina HiSeq 2000,NA,clinical sample,Not Recorded,NA,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-07-12T00:00:00Z,2016-04-11T19:02:00Z,1,MMMOSAM:4c1cdaef-d212-41ca-bba2-6be78c94a31a,whole organism,NA,SRP072971,NA,NA
SRR3357165,WGS,ASM920v1,302,475923008,PRJNA315363,SAMN04625153,"Microbe\, viral or environmental",229381445,MODMEDMICOXFORD,ModMedMicOxford,2015-02-13,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1690656,United Kingdom,Europe,United Kingdom: Brighton,Illumina HiSeq 2000,NA,clinical sample,Not Recorded,NA,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-07-12T00:00:00Z,2016-04-11T19:04:00Z,1,MMMOSAM:67ddd7ea-d8f9-4f61-a082-a052b1a1c426,whole organism,NA,SRP072971,NA,NA
SRR3357180,WGS,ASM920v1,302,470039142,PRJNA315363,SAMN04625168,"Microbe\, viral or environmental",232066218,MODMEDMICOXFORD,ModMedMicOxford,2015-02-13,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1690671,United Kingdom,Europe,United Kingdom: Brighton,Illumina HiSeq 2000,NA,clinical sample,Not Recorded,NA,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-07-12T00:00:00Z,2016-04-11T19:06:00Z,1,MMMOSAM:78844dfc-48d2-4eec-931d-3b7321e4d2b2,whole organism,NA,SRP072971,NA,NA
SRR3357200,WGS,ASM920v1,302,424715888,PRJNA315363,SAMN04625188,"Microbe\, viral or environmental",167162501,MODMEDMICOXFORD,ModMedMicOxford,2011-05-13,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1690691,United Kingdom,Europe,United Kingdom: Brighton,Illumina HiSeq 2000,NA,clinical sample,Not Recorded,NA,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-07-12T00:00:00Z,2016-04-11T19:38:00Z,1,MMMOSAM:9ced16d0-ba35-4eb5-aa65-aaaa4a284437,whole organism,NA,SRP072971,NA,NA
SRR3357264,WGS,ASM920v1,302,352527016,PRJNA315363,SAMN04625218,"Microbe\, viral or environmental",139775316,MODMEDMICOXFORD,ModMedMicOxford,2011-01-26,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1690724,United Kingdom,Europe,United Kingdom: Brighton,Illumina HiSeq 2000,NA,clinical sample,Not Recorded,NA,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-07-12T00:00:00Z,2016-04-11T19:41:00Z,1,MMMOSAM:c3a01126-6977-4a92-82c9-b084534c5fab,whole organism,NA,SRP072971,NA,NA
SRR3357274,WGS,ASM920v1,302,338135206,PRJNA315363,SAMN04625228,"Microbe\, viral or environmental",132198845,MODMEDMICOXFORD,ModMedMicOxford,2011-03-15,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1690734,United Kingdom,Europe,United Kingdom: Brighton,Illumina HiSeq 2000,NA,clinical sample,Not Recorded,NA,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-07-12T00:00:00Z,2016-04-11T19:12:00Z,1,MMMOSAM:cc2a6453-2984-41c6-8c6a-8f3642b5bd33,whole organism,NA,SRP072971,NA,NA
